rank,PetID,tier,proba_slow,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description,Type_str,Breed1_str,Gender_str,Color1_str,MaturitySize_str,FurLength_str,Vaccinated_str,Sterilized_str,Health_str,age_group,has_photo,is_group,Fee_is_free,has_name,tier_order,predicted_slow,y_true_str,n_words_original,n_words_rewritten,description_original,description_rewritten,has_rewritten_description,length_delta_words
1718,c4f6cca8a,Low,0.46230731984629,1,Simon - Beagle Cross,1,2,307,1,1,2,1,2,2,1,1,0,1.0,He is shy & will take a while to warm up with him. Friendly & obedient. A wonderful companion to have. All he needs is a loving home. No tying up / caging please. Adopters must be willing to vaccinate & neuter him. everydoghasitsday09.blogspot.com,Dog,Mixed Breed,Male,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1719,e6151d695,Low,0.4623058070618209,1,Juno,1,2,307,1,2,2,1,2,2,1,1,0,1.0,"Together 12 puppies, Juno has been found near my office. We are trying to look for him a lovely home. Anyone who wish to give Juno a home and love, please email to:  ,com or add me to your Msger or MSN Tell us you name, place, and whether u agree the terms and condition which listed below. Terms and Condition: The person who want to adopt the dog 1) Have to neuter the dog.",Dog,Mixed Breed,Male,Brown,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1720,1b1ddc50c,Low,0.4621311050941428,1,Winston,1,2,307,1,1,2,1,3,2,1,1,0,1.0,Lovely puppy looking for a forever home. If u are interested to adopt pls contact Rachel,Dog,Mixed Breed,Male,Black,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1721,9f4a72311,Low,0.4620739458317561,0,Argo,1,3,307,1,2,2,1,3,2,1,1,0,2.0,"I am a lovely puppy, Every one said I have a smiling face. If u are intetested to adopt me pls contact Rachel",Dog,Mixed Breed,Male,Brown,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1722,59a320894,Low,0.462071228734673,1,Boy,2,3,266,1,1,2,1,2,2,1,1,0,5.0,"Anak kucin ini, anak saya bawa pulang dari kolej semasa kecil kerana risaukan keadaannya yang selsema dan sakit mata. setelah hampir 2 bulan di rumah kami, anak kucing ini sudah sihat dan aktif Saya sudah deworm Saya sudah tidak mampu untuk membela lebih banyak kucing di rumah. Oleh itu, Sesiapa yang berminat untuk adopt kucing ini. Diharapkan boleh telefon/sms nombor telefon saya noriah - saya tidak dapat online selalu. sebarang description, sila rujuk gambar. diharapkan untuk mencari rumah dan owner baru untuk kucing ini.",Cat,Domestic Short Hair,Male,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1723,45c278a7d,Low,0.4620349688365311,1,Messy,2,3,265,2,2,2,2,2,2,1,2,0,2.0,"Borned in early Feb, . There were almost 3 months old. Its a mix breed and slighly long with unique feature as well.",Cat,Domestic Medium Hair,Female,Brown,Medium,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1724,1bd13d3e5,Low,0.4620152348914486,0,Mickey (can Be Rename Later),1,2,307,1,1,2,1,2,2,2,1,0,2.0,Mickey(name he currently respond to) is looking for a new owner. welcome donation in any amount but there's no certain adoption fee. -Dog must be spayed once reach age of 6th month. Interested please call Ms Lau or email to Thank you :) --------------------------------,Dog,Mixed Breed,Male,Black,Medium,Short,No,No,Minor Injury,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1725,639a4bcfd,Low,0.4619712550877506,0,Casey,1,2,307,1,2,2,1,2,2,1,1,0,3.0,I've been feeding Casey's mum and his other siblings for the past few months. They are currently taking a shelter inside the temple behind my office. Please open your heart to adopt Casey.He deserves to be loved and cared for. No caging or chaining is allowed. He must be allowed to run freely within the house compound. Only serious adopters will be entertained.,Dog,Mixed Breed,Male,Brown,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1726,8b636912d,Low,0.4619634697995105,1,Sisi,1,3,213,2,1,2,1,3,2,1,3,0,10.0,Sisi who has a fractured leg was found loitering in a market by a kind lady with 2 of her siblings.(They have colars around their neck so they are obviously abandoned).Been very loving and obedient I hope that someone can provide her a good home and love which she truly deserves.She is the sole survivor of the 3 siblings who passed away and is now waiting patiently for a loving home to go to.,Dog,Spitz,Female,Black,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1727,5417ca8e6,Low,0.4619035808181155,0,White&Black/Black/Gray,2,2,306,3,1,1,1,3,3,1,3,0,5.0,Please SMS.,Cat,Tuxedo,Mixed,Black,Small,Short,Not Sure,Not Sure,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1728,9819716c8,Low,0.4618997004182418,0,Cute Puppies,1,1,307,3,1,2,2,3,2,1,6,0,2.0,Puppies looking for home. Commitment to spay is compulsory for female pups. Interested to adopt pls contact ,Dog,Mixed Breed,Mixed,Black,Medium,Medium,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1729,845703071,Low,0.4618908423107313,0,,2,2,286,3,1,2,1,2,2,1,2,50,4.0,Kittens were rescued from streets as some of them have already died! I can only afford to keep them till 1st August. Pls HELP!,Cat,Pixie-Bob,Mixed,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,False,False,3,False,Slow,,,,,False,
1730,4f3e35156,Low,0.4618641923846378,0,No Name,2,1,265,3,6,1,2,2,2,1,4,0,7.0,They're very tame and only looking for serious adopter.,Cat,Domestic Medium Hair,Mixed,Gray,Small,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1731,48a44eac5,Low,0.4618541211440846,0,Bernard Boy,1,2,307,1,1,2,1,2,2,1,1,0,1.0,"Location : Teluk Intan, Perak",Dog,Mixed Breed,Male,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1732,992feb0f1,Low,0.4618530543647374,1,Casper,2,10,243,1,7,2,2,1,1,1,1,0,3.0,My sweet Casper is looking for a home. Casper came to my home about 10 months ago when he was only 1 month old. He was the cutest kitten. Very playful. And for 10 months he was the best brother for Zatar and Effendi. They always play together and sleep hugging each other. I'm very sorry that I need to find a new loving home for Casper as I am leaving Malaysia soon and I can't bring him home with me. Casper promises to be a good cat. To purr and do all the cute things cats do. He is vaccinated and neutered and his health is very good. His next vaccination is in July this year. Here's a picture of Casper. If you can give him a home sms me or call me at .,Cat,American Shorthair,Male,White,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,3,False,Fast,,,,,False,
1733,485887f4c,Low,0.4617942176953482,1,Whiteyy,1,3,307,1,2,3,1,2,2,1,1,0,11.0,"I promise I won't be 'just a dog'. I'll be your best friend and your midnight weeping pillow. I'll be waiting at your doorstep every evening and I'll make sure you wake up every morning. I promise, I won't be a burden. Teach me, I might even fetch you newspaper every morning :) I was a stray pup, saved from the streets, with multiple wounds and a sad, sad heart. I couldn't be more grateful for SuXian and her friends who showed me the meaning of love and home. But I know, despite their midnight cuddles and soothing coos, they're struggling so much just to feed me and pay my medical bills to make me feel better. Now that I'm a charming doggo, I hope I catch your attention. ""Saving one dog will not change the world, but for that one dog, his world changed forever"" Still reading? I love you already !! :D Give me a chance to prove how much love I can provide !",Dog,Mixed Breed,Male,Brown,Large,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1734,6e31c1647,Low,0.4617626314171432,0,Pari (read Peri),2,3,264,2,6,1,3,1,1,1,1,0,5.0,Pari (peri) is very active & likes to play kitten. She has very short lovely tail. She would be good companion as she likes to lick u on your nose area & sleeps beside u ... I've been taking care of her since she was born. She stays with me in a such a small room & I couldn't let her walk around the unit as all the hooters dislike cat 😔 Dear pet lover please help my lovely pari to find better home As I could not effort to give her better shelter 😔,Cat,Domestic Long Hair,Female,Gray,Small,Long,Yes,Yes,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1735,d52f229d1,Low,0.461706107343834,1,Cute Sock Puppies,1,2,307,1,1,2,1,2,2,1,2,0,2.0,"These 2 cute boys were abandoned by someone underneath a car! Imagine if no one notice their existence under the car,what would happen to them? Imagine other adult stray attack them,who would fend for them? What if they play by the roadside,what are the chances of them getting hit by traffic? They need a home to grow up as a lovely house pet. I believe they will only learn to love you more if you give them a home. A chance to love and be loved.",Dog,Mixed Breed,Male,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1736,ab22c3350,Low,0.4615694870596298,1,Cream Poodle,1,36,179,2,5,1,3,3,2,1,1,0,0.0,the owner has asthma n x longer able to care for it...i think its a pure poodle but it has a cherry eye on one of its eyes...been keeping it in my shop for a while n would love it if anyone would like to take it n care for it,Dog,Poodle,Female,Cream,Small,Long,Not Sure,No,Healthy,Adult/Senior (25+m),False,False,True,True,3,False,Fast,,,,,False,
1737,99a9c9a23,Low,0.4615657661929717,1,Rudy,1,2,103,1,1,2,2,3,2,1,1,0,1.0,Lovely puppy looking for a forever home. Interested to adopt pls contact Rachel.,Dog,German Shepherd Dog,Male,Black,Medium,Medium,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1738,39e9ecb70,Low,0.4615277146739056,1,Potato & Peach,2,3,266,3,4,1,1,2,2,1,2,0,1.0,"cute and loving cats, very healthy condition as well as cat litter trained.",Cat,Domestic Short Hair,Mixed,Yellow,Small,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1739,93685a66f,Low,0.4614674305730336,1,Herbie,1,2,307,2,1,2,1,1,2,1,1,0,3.0,"Little Herbie was the only girl from the 5 siblings delivered by her mother. All her bothers found their loving home except for Herbie. She is a loving little girl who just loves running around having fun. If you have a soft spot for Herbie and would like her to be part of your family, just leave your comments here. Adoption requirement : a) Herbie must be spayed when she reached her maturity b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) e) Walk her regularly with plenty of exercise f) Provide progress update and add us on facebook If you are interested, please contact me",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1740,9238eb7fc,Low,0.4613994049658491,1,Cookie,2,3,266,1,6,2,1,2,2,1,1,0,1.0,i rescue this stary kitten from market near my house i have take care of it around 1 month its active and cute hope that have cats lover out there can give him a new home..,Cat,Domestic Short Hair,Male,Gray,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1741,e129ff4a1,Low,0.4613040081423658,1,5 Kittens (7 Weeks Old),2,2,266,3,1,2,1,2,2,1,5,0,5.0,"Our resident office cat gave birth to 5 adorable kittens in November .Now they are 7 weeks old and very playful. We are hoping to find them good homes. These kittens are healthy and litter trained. They are all nicknamed after their appearance: Si Gebu, Si Tompok Oren & Si Montel Hitam, Si Putih Kecik & Si Tiger Kecik. Location Bangi/Kajang. If you are interested, please whatapp me or Kak",Cat,Domestic Short Hair,Mixed,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1742,1e8d8e53e,Low,0.4613030887583145,0,Roscoe,1,3,239,1,2,2,1,3,2,1,1,0,1.0,Lovely puppy looking for a forever home. If u are interested to adopt pls contact Rachel,Dog,Yellow Labrador Retriever,Male,Brown,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1743,75bc667ae,Low,0.461300202452359,1,Angie,1,1,307,2,2,2,1,1,2,1,1,0,8.0,No tying or caging for long hours except for precautionary purposes. Commitment to spay her is compulsory. Interested to adopt pls call me.,Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1744,2edce7d92,Low,0.4612656663221117,1,Kopi,1,2,307,2,2,2,1,2,2,1,1,0,5.0,"Kopi was found near my office together with her sisters. She is a very cute, adorable, and respond to the human voice. We are trying to look for her a lovely home. Anyone who wish to give Kopi a home and love, please email to:  ,com or add me to your Msger or MSN Tell us you name, place, and whether u agree the terms and condition which listed below. Terms and Condition: The person who want to adopt the dog 1) Have to stay in ""pet allowed"" property. 2) Apply license for the dog and renew the license annually. 3) Have to bring the dog for vaccination. 4) Have to do heartworm prevention and deworming. 5) Have to neuter the dog.",Dog,Mixed Breed,Female,Brown,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1745,54bbc1b84,Low,0.4612105864558018,1,Jack Russell,1,6,129,2,2,1,1,1,2,1,1,500,3.0,"She is a loving loyal dog with great personality, very people friendly and dog friendly, perfect pet. Fully house trained and uses Pee Pad. Walk trained on leash with harness too. Reason I am looking for new home is my time spent with her is not enough she needs more people around her and more time spent with her. Ideally a family. Provided with her is Indoor Dog Pen Pee Pad Pee Pad Mats (2 month supply) 2x Beds Food Chew bones and toys Leash plus harness Food & Water Bowl Vet Vaccination Book with certs **************************************** STRICTLY NO BREEDERS ONLY GENUINE PEOPLE. **************************************** SMS me on number provided.",Dog,Jack Russell Terrier (Parson Russell Terrier),Female,Brown,Small,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,False,True,3,False,Fast,,,,,False,
1746,40b1839ea,Low,0.461204105335365,1,Newborn Mixed Breed Pups (2 Week),1,0,307,1,1,3,1,2,2,1,5,0,7.0,The pups are newborn before their mama are spayed and the owner currently having problem keeping them all. Transporting the pups to your house are provided.,Dog,Mixed Breed,Male,Black,Large,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1747,8a04b2403,Low,0.4611985478266578,0,Fuji,1,1,307,2,1,2,1,1,2,1,1,0,10.0,"Their pregnant mother was dumped by her irresponsible owner at the roadside near some shops in Subang Jaya. Gave birth to them at the roadside. They are all healthy and adorable puppies. Already dewormed, vaccinated and ready to go to a home. No tying or caging for long hours as guard dogs. However, it is acceptable to cage or tie for precautionary purposes. Commitment to spay her is compulsory Interested to adopt pls call me.",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1748,dd015cd22,Low,0.4611187069916468,1,,2,4,265,2,3,2,2,2,2,1,1,0,4.0,"Hi all, here a cute kitty i found on the street, any kind soul willing to adopt this kitty please call or sms Madam . Thank you.",Cat,Domestic Medium Hair,Female,Golden,Medium,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,False,3,False,Fast,,,,,False,
1749,6264e2ffa,Low,0.4610995652980602,0,XiaoHu Bai(Tiger),2,6,265,1,4,2,2,1,2,1,1,0,4.0,"anak kepada kucing yang saya bela. sejak kecil sudah bagi 3 kali injections dan dewormed, sihat dan berbulu medium. hanya perlu bayar vaccination fees RM45 sekali, total ialah RM. sesiapa yang berminat boleh sms ke. thank you.",Cat,Domestic Medium Hair,Male,Yellow,Medium,Medium,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1750,5ab4a7a66,Low,0.461051655212748,1,Black & Blackie,2,1,265,3,1,1,2,2,2,1,2,0,4.0,"Tame, active, cute and playful.",Cat,Domestic Medium Hair,Mixed,Black,Small,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Fast,,,,,False,
1751,769d800fa,Low,0.4609302267610143,1,Greysy,2,3,266,2,1,2,1,2,2,1,1,0,5.0,"This little girl was found abandoned near my house about 3 weeks back. We assume that when we got her she was just recovering from a bad diarrhoea as her whole bum was stained with stools and her tail actually died and dropped off due to constant cantact with the diarrhoea (she had a longer tail). Her tail and diarrhoea has completely healed. She is now a very active kitten. She is not fully toilet trained though, she uses it at times, but prefers to use plastic bags. Anyone who is interested in adopting her can contact me or sms me at .",Cat,Domestic Short Hair,Female,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1752,92586e5a3,Low,0.460906165600275,0,Rum,1,36,109,1,3,4,2,1,1,1,1,0,1.0,Owner cannot keep him anymore due to council ruling. Good guard dog. Neutered vaccinated rabies japped. Heartworm annual japped. Annual booster japped. Healthy dog. Rum is a blood donor.Trained with basic commands. Sit stay wait. Trained to walk on leash. If u interested to gv Rum a home pls contact Rachel,Dog,Golden Retriever,Male,Golden,Extra Large,Medium,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,3,False,Slow,,,,,False,
1753,b7575471f,Low,0.4608419102485632,0,Orange & Black (Pls Read Below),2,1,266,3,1,1,1,3,3,1,2,0,10.0,"Contact me ONLY if you have read everything below and that you are serious of adopting them after asking permission from the people around you. This is a long time commitment. ""Please remember that these are living souls. They need consistent care, attention and boundless love. They will grow up, make messes and trouble, they will cause you to spend some money on their food and medical but they will love you if you love them equally. If you are serious about adopting a family member and you are willing to spend time, money and effort to take care of the kittens then by all means contact me and I will be glad to give them to you. I will be expecting for updates till I feel they are in a good home."" .............................................................................................................................. *Conditions (details will be discussed when you contact me, preferably whatsapp) : - Will be available end of January. - There are milk bottle chargesthe duration that I foster. I do not gain any profit from this as it is only the money I spent for the food. Receipt for one bottle will be shown as proof. Rm7.50/per goat milk bottle. I have used 20 bottles so far. - Please bring them for vaccination, deworming. This is crucial and please spay/neuter when the time is right to reduce the homeless strays we have. About the kitten : Male = Orange/Yellow/Ginger (Bent tail) Pink nose, pink paws Age = Estimation around 2-4 days old when found on /. Personality - Orange is gentle and very kind cuz he loves to groom his sister. ............................................................................................................................... Story : / : I was out for dinner with a friend at Centrepoint BU and we heard tiny meows near the drain of the parking lot. I went to look and found these two kittens all wet and muddy near the bushes. It was raining and we waited to see if the mother was around. No mom on sight so I took them back to clean and warm them up (1.30am). I went back to the place with them in a box and left them where I found just in case the mother comes back and I left. Around 7.30am, I went back to the place to find them still there and I asked around if they have seen the mother cat but they said no where to be found. So I took these survivors in, went to the clinic to see if they have chance to survive, and the Doctor said these guys are really strong. So YAY!",Cat,Domestic Short Hair,Mixed,Black,Small,Short,Not Sure,Not Sure,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1754,9d2fb911c,Low,0.4607959278045161,0,To Avoid From Poisoning Death,1,3,307,2,1,3,1,3,3,1,1,0,4.0,Coverage area.. (Ampang/Cheras/Kepong/Selayang) To avoid poisoning death case by black hearted people..Currently stay in industrial area. Our restaurant staff was pissed off to clean their shit..,Dog,Mixed Breed,Female,Black,Large,Short,Not Sure,Not Sure,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1755,9c996aee9,Low,0.4607603926128228,0,Bee Gee,1,1,307,2,2,2,1,3,2,1,1,0,1.0,Beautiful puppy looking for a home sweet home. Commitment to spay is compulsory. If you are interested to adopt pls contact Amy,Dog,Mixed Breed,Female,Brown,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1756,eba013abc,Low,0.4607113890118479,0,3month Old Tabby,2,3,266,2,1,1,1,2,2,1,1,0,3.0,3 month old female tabby for adoption in Bangi/Kajang. She is healthy & friendly towards humans and other cats. Interested adopters please whatapp.,Cat,Domestic Short Hair,Female,Black,Small,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1757,c6bb64d82,Low,0.4606982616873265,0,Jacob,2,18,265,2,3,2,2,3,3,1,1,100,6.0,I purchased from an individual who is selling pets. It is healthy apart from random sneeze at this moment. It is toilet trained.,Cat,Domestic Medium Hair,Female,Golden,Medium,Medium,Not Sure,Not Sure,Healthy,Young Adult (7-24m),True,False,False,True,3,False,Slow,,,,,False,
1758,f72db59b3,Low,0.4606843321816376,0,Lil Panda Girl,1,3,39,2,1,2,2,2,2,1,1,0,9.0,"Lil Panda Girl is a cute and adorable pup who attracts loads of attention. She is greedy and enjoys eating. She is also a quiet pup but surely enjoy her furry friends companion. A playful and smart escape artist. She is free for adoption but adopter has to reimburse the cost of spaying & vaccinations for our on-going spay-neuter programme. Please contact Sam () to make an appointment to meet up with this cutie pie. If I do not pick up your phone call, please text me and I will return your call a.s.a.p.",Dog,Border Collie,Female,Black,Medium,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1759,4ae940ec2,Low,0.4606632776078387,1,Lucky Dog,1,3,307,1,1,2,1,1,2,1,1,0,5.0,"He was born by a guard dog mother from a factory. Met with an accident and injured his leg. The owner brought him to a vet clinic to be put down. The vet left him in a cage and no time to put him down. After about 2 weeks in the vet, his injured leg just recovered by itself and he is a healthy dog now. No tying and caging for long hour except for precautionary purposes. Commitment to neuter him is compulsory.",Dog,Mixed Breed,Male,Black,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1760,45f8df95e,Low,0.4606471333453283,0,Saved From The Pound,1,1,307,3,2,2,2,2,2,1,2,0,3.0,"(I cannot believe they kidnap babies and throw them into the pound!) do love us. we just started our journey here, a fresh start, a new lease of life. take me home, please?",Dog,Mixed Breed,Mixed,Brown,Medium,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1761,d8c1859cb,Low,0.4606176905307602,1,Lisa,1,3,307,2,1,3,2,1,2,1,1,0,5.0,She is a smart and obedient puppy. No caging or tying for long hours except for precautionary purposes. Commitment to spay her is compulsory Interested to adopt pls call Amy ,Dog,Mixed Breed,Female,Black,Large,Medium,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1762,e995db95f,Low,0.4605320491169097,0,Buddy,1,2,307,1,2,2,1,3,2,1,1,0,3.0,I am lovely and cute. I deserve a home. If you are interested to give me a home. Pls contact Rachel,Dog,Mixed Breed,Male,Brown,Medium,Short,Not Sure,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1763,c07d6061c,Low,0.4604994617447757,0,"Jaja, Jiji, Juju",2,2,266,3,1,1,1,2,2,1,3,0,3.0,"3 kittens available for adoption:- - 2 grey with black stripes colour - 1 black colour Self pick in Pekan, Pahang only.",Cat,Domestic Short Hair,Mixed,Black,Small,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,True,3,False,Slow,,,,,False,
1764,be917151a,Low,0.4604806575886714,0,Baby Cassie,1,1,307,2,2,2,1,2,2,1,1,60,2.0,"One bangla construction worker highlighted to us about the presence of a puppy wondering near his site, probably kena dumped during our feeding session. She had tears on her eyes when we took her back & always wanted to cling & hug on us & had so much affection to show & share with us. Can anyone give her a loving, caring, forever home she truly deserves? She's around 1 month plus. Adoption saves lives ! Pls adopt instead of buy! Pls help to share the 💕💗 around. Location : KL . Txs",Dog,Mixed Breed,Female,Brown,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,False,True,3,False,Slow,,,,,False,
1765,93d842736,Low,0.4604239656184048,1,,2,1,265,3,1,2,1,2,2,1,5,0,3.0,"a stray mummy cat gave birth outside my office. Pls give these kitties a nice and warm home! there is one tri-coloured with green eyes, one orange white with green eyes one orange white striped with blue eyes one black stripe with green eyes one black with blue eyes",Cat,Domestic Medium Hair,Mixed,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,True,True,False,3,False,Fast,,,,,False,
1766,b69d479cf,Low,0.4603919134790503,0,Ole,1,3,141,2,2,2,1,1,2,1,1,0,2.0,I have a pair of beautiful eyes.Every one said my eyes are special. I look much better in real life than in photos. I am well behave and looking for a home sweet home. Commitment to spay is compulsory. If you are interested to adopt me pls contact Rachel,Dog,Labrador Retriever,Female,Brown,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Slow,,,,,False,
1767,523912c83,Low,0.4603002572363422,1,Buster,2,6,243,1,4,1,1,2,2,1,1,0,3.0,"This is Buster, he is the Son of Digit who kind of moved into our office house. Buster is a quiet little guy who like to do his own thing and look at human like ""what you doing"". Since he is being homed here at my office we unfortunately can't keep him. We are look for a good home for him. Please note that he is an indoor kitten and has never been outdoors, so I would prefer that he be adopted by someone who can provide an indoor setting. I'm also willing to have him neutered at my expense if the adopter requests. Please contact either James (English only) or Justin (English & Malay) if your interested in adopting Fuzzy",Cat,American Shorthair,Male,Yellow,Small,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1768,c22078c20,Low,0.4602726419172109,1,Kuro,1,2,307,1,1,2,2,1,2,1,1,0,7.0,He was dumped by his irresponsible owner when just few days after birth. Healthy and happy puppy. If you are willing to give him a home. Pls call me.,Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1769,13eafff41,Low,0.4602665245700976,1,Bella,2,10,264,2,1,3,3,2,2,1,1,0,3.0,"Hello There, Bella have been adopted by a lovely Girl from Damansara. Thank you for those who are interested with her. Im sure theres lots of cats outthere waiting for you to adopt . Thank you :)",Cat,Domestic Long Hair,Female,Black,Large,Long,No,No,Healthy,Young Adult (7-24m),True,False,True,True,3,False,Fast,,,,,False,
1770,1dfcfe139,Low,0.4602461542894807,1,â¥ Demetrius (Albino) â¥,2,4,265,1,7,2,2,1,1,1,1,0,5.0,"** No - we're not regular white haired cats with blue eyes (even if our uniqueness won't capture in our pics below)! We are full Albino twins and our genes account for only 2% of the cat population. We have special pink glints in our eyes and yes, like all other Albino animals out there we'll do wonderful in a fully indoor environment (not too much time under the direct sun). Please read on for more details about us! :) ** ------------------------------------------------------------- Introducing handsome little Demetrius! ♥ Male kitten, 4 1/2 months old. Brother to Florentino (Profile: ) ♥ A softie, Demetri has his moments of interest in play but mostly prefers a good cuddle and climbing over laps (he can fall asleep barely seconds after cuddling!). He has the loudest purr too. ♥ Demetri loves people and is easy with other cats (he will adjust fast as long as they're not aggressive towards him) - he will also be the first to explore any new environment or say hello to our vets / visitors. ♥ Demetri will do wonderful in a home where he'll receive lots of petting and affection. He's gentle when he plays and never uses his claws - hence mature children or even babies will make wonderful sidekicks! ♥ Demetri is on the road to recovery from a mild case of flu and is otherwise healthy. He has been dewormed, deflead and is very clever with the litter box. Prefers wet food over dry (although not a picky eater). ***PLEASE READ (Note for adopters)***: ○ Demetri must be kept % indoors for his own safety. Apartments need to be cat-safe. ○ Premium food feeding only (no Whiskas, Friskies etc). Please inquire to know more, this is for any cats long term welfare. Please drop me an email or call if you feel that you may be just the right person to give this boy a loving home. Thank you!",Cat,Domestic Medium Hair,Male,White,Medium,Medium,Yes,Yes,Healthy,Puppy/Kitten (0-6m),True,False,True,True,3,False,Fast,,,,,False,
1771,c5b97062a,Low,0.4602405395707499,0,Monster & Puma,2,2,265,3,1,1,2,1,2,1,2,200,11.0,Cute cat for adoption,Cat,Domestic Medium Hair,Mixed,Black,Small,Medium,Yes,No,Healthy,Puppy/Kitten (0-6m),True,True,False,True,3,False,Slow,,,,,False,
